CASE_ID,WRKFLW_TSK_MAP_GROUPED,WRKFLW_TSK_MAP_DETAILED,PATH_CRDATETIME,time_used_str,time_used_second
1132012|506654|777406,Release Offer,Release Offer,12/10/2019 11:24:44,94 days 0 hours 56 minutes 10 seconds,8124970.0
1132012|506654|777406,Accept,Accept,14/1/2020 12:20:54,NA,0.0
1034446|377904|588943,Release Offer,Release Offer,20/9/2018 10:00:33,39 days 4 hours 57 minutes 21 seconds,3387441.0
1034446|377904|588943,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,29/10/2018 14:57:54,51 days 7 hours 9 minutes 55 seconds,4432195.0
1034446|377904|588943,Accept,Accept,19/12/2018 22:07:49,NA,0.0
925926|416065|645076,Release Offer,Release Offer,23/11/2018 15:33:55,74 days 23 hours 28 minutes 9 seconds,6478089.0
925926|416065|645076,OC - Reviewed - Other,OC - Reviewed - English language requirements,6/2/2019 15:02:04,NA,0.0
1023660|451888|694464,Release Offer,Release Offer,13/2/2019 9:37:27,NA,0.0
1112544|482220|739792,Release Offer,Release Offer,23/5/2019 16:47:05,9 days 0 hours 32 minutes 44 seconds,779564.0
1112544|482220|739792,Accept,Accept,1/6/2019 17:19:49,NA,0.0
1032525|375569|585384,Release Offer,Release Offer,14/8/2018 9:48:12,0 days 12 hours 8 minutes 0 seconds,43680.0
1032525|375569|585384,Accept,Accept,14/8/2018 21:56:12,NA,0.0
735247|392945|611679,Release Offer,Release Offer,19/11/2018 11:10:21,44 days 5 hours 52 minutes 35 seconds,3822755.0
735247|392945|611679,Accept,Accept,2/1/2019 17:02:56,NA,0.0
1028266|369880|577147,Release Offer,Release Offer,15/8/2018 10:19:02,12 days 3 hours 10 minutes 26 seconds,1048226.0
1028266|369880|577147,OC - Satisfied - Other,OC - Satisfied - Evidence of course completion,27/8/2018 13:29:28,150 days 22 hours 29 minutes 9 seconds,13040949.0
1028266|369880|577147,Accept,Accept,25/1/2019 11:58:37,NA,0.0
945793|418162|648125,Release Offer,Release Offer,3/12/2018 16:23:55,83 days 22 hours 23 minutes 58 seconds,7251838.0
945793|418162|648125,Decline,Decline,25/2/2019 14:47:53,NA,0.0
886776|417211|646765,Release Offer,Release Offer,9/1/2019 11:38:28,31 days 6 hours 56 minutes 32 seconds,2703392.0
886776|417211|646765,Decline,Decline,9/2/2019 18:35:00,NA,0.0
1104905|473108|726077,Release Offer,Release Offer,11/6/2019 15:29:34,NA,0.0
1089818|454140|697858,Release Offer,Release Offer,26/2/2019 12:20:42,128 days 5 hours 23 minutes 39 seconds,11078619.0
1089818|454140|697858,Accept,Accept,4/7/2019 17:44:21,NA,0.0
1040150|384987|599608,Release Offer,Release Offer,12/10/2018 10:27:27,NA,0.0
982703|311743|493733,Release Offer,Release Offer,21/12/2017 16:17:43,26 days 19 hours 49 minutes 59 seconds,2317799.0
982703|311743|493733,Manage Acceptance,Manage Acceptance,17/1/2018 12:07:42,0 days 0 hours 0 minutes 0 seconds,0.0
982703|311743|493733,Accept,Accept,17/1/2018 12:07:42,NA,0.0
813767|478572|734181,Release Offer,Release Offer,28/5/2019 14:06:30,0 days 7 hours 10 minutes 48 seconds,25848.0
813767|478572|734181,Decline,Decline,28/5/2019 21:17:18,NA,0.0
