"","CASE_ID","STU_CITIZEN_NM","STU_ABOR_TSI_NM","SUBMISSION_METHOD","ENTRY_TYPE","ASSESSMENT_DECISION_NM","ASSESSMENT_OUTCOME_NM","LAST_COUNTRY_EDUCATION","PREFERENCE_NO","AVAIL_ORG_UNIT_NM","STUDY_MODE_CD","RETURNING_DEFERRAL","CURR_AVAIL_YR","CURR_STUDY_PERIOD","ORIG_AVAIL_YR","ORIG_STUDY_PERIOD","SPK_CAT_TYPE_CD","OFFER_RELEASED_FG","OFFER_OUTCOME_CD","OFFER_CONDITIONS"
"19837","782097|355548|554313","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","No Decision","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","Y"
"19861","1017012|355551|554316","Temporary Entry Permit","No","External Agency Application Load","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","N"
"19891","1017134|355612|554415","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","","","United States of America","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"19900","1017140|355618|554422","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","Y"
"19925","1017095|355638|554449","Overseas Student Residing Overseas","No","Online Application","Bachelor (equiv Aust 3yr deg)","No Decision","No Outcome Set","Indonesia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","Y"
"19938","1017095|355638|554450","Overseas Student Residing Overseas","No","Online Application","","","","Indonesia","2","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","",""
"19948","825724|355659|554474","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","Y"
"19966","1017195|355680|554503","Temporary Entry Permit","No","External Agency Application Load","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","Y"
"19979","1017278|355782|554653","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Colombia","1","Engineering","STD","Y","2019","Mid Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","Y"
"19989","1017310|355813|554710","Temporary Entry Permit","No","Online Application","","Not Assessed","Higher Preference Successful","Brazil","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"19998","1017310|355813|554711","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Brazil","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"20012","1011528|348885|554944","Temporary Entry Permit","No","Online Application","","Qualified","Successful","United States of America","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEF","N"
"20027","1017491|356010|555079","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","Y"
"20040","1017492|356013|555085","Temporary Entry Permit","No","Online Application","Masters CW","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"20054","1017491|356017|555095","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","Y"
"20071","938813|356106|555243","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Indonesia","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","","N"
"20081","749215|356119|555260","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","Y"
"20093","1010893|356120|555262","Temporary Entry Permit","No","Online Application","","Not Assessed","Not Successful","India","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
