"","CASE_ID","STU_CITIZEN_NM","STU_ABOR_TSI_NM","SUBMISSION_METHOD","ENTRY_TYPE","ASSESSMENT_DECISION_NM","ASSESSMENT_OUTCOME_NM","LAST_COUNTRY_EDUCATION","PREFERENCE_NO","AVAIL_ORG_UNIT_NM","STUDY_MODE_CD","RETURNING_DEFERRAL","CURR_AVAIL_YR","CURR_STUDY_PERIOD","ORIG_AVAIL_YR","ORIG_STUDY_PERIOD","SPK_CAT_TYPE_CD","OFFER_RELEASED_FG","OFFER_OUTCOME_CD","OFFER_CONDITIONS"
"1039","961605|375543|585341","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Taiwan","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","Y","$ACC","N"
"1052","1032525|375569|585384","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","No Decision","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","N"
"1072","1026713|376034|586126","Australian","No","Online Application","Masters CW","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","Y","","N"
"1092","1033537|376798|587229","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","New Zealand","1","Engineering","STD","Y","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEF","N"
"1103","1033710|376995|587501","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Germany","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","Y"
"1111","1033710|376995|587502","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Germany","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1116","832087|377166|587774","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1123","1033961|377264|587917","Permanent Resident (excl Humanitarian)","No","Online Application","","","","","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1124","1033961|377264|587919","Permanent Resident (excl Humanitarian)","No","Online Application","","","","","4","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1125","1033983|377298|587978","Australian","Not Answered","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"1134","1034186|377543|588325","Permanent Resident (excl Humanitarian)","No","Online Application","Grad Dip/Postgrad Dip","","","Egypt","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1140","1034186|377543|588326","Permanent Resident (excl Humanitarian)","No","Online Application","","","","Egypt","2","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","","N"
"1146","1027434|377702|588562","Permanent Resident (excl Humanitarian)","No","Online Application","","Not Qualified","Not Successful","United Kingdom","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"1154","1034446|377904|588943","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","Y"
"1173","1034455|377916|588962","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"1186","1034538|378000|589091","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Pakistan","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","N"
"1204","1034656|378152|589286","Australian","No","Online Application","","","","","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"1205","722408|378330|589526","Australian","Not Answered","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEF","Y"
"1222","620807|378847|590250","Permanent Resident (excl Humanitarian)","No","Online Application","","Not Assessed","Higher Preference Successful","Netherlands","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1230","620807|378847|590252","Permanent Resident (excl Humanitarian)","No","Online Application","","Not Assessed","Higher Preference Successful","Netherlands","4","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1239","1033537|378991|590458","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","New Zealand","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"1248","680793|379117|590657","Australian","No","Online Application","Masters CW","Not Qualified","Not Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"1264","724576|379419|591120","Australian","No","Online Application","Masters CW","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEF","Y"
"1285","903597|379818|591703","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","N"
"1297","833041|379823|591709","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1304","1036271|380202|592284","Permanent Resident (excl Humanitarian)","No","Online Application","Masters CW","No Decision","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEC","N"
"1318","761059|380979|593465","Australian","No","Online Application","","Not Assessed","Ineligible / Withdrawn","","4","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1325","1037307|381476|594195","Australian","No","Online Application","Masters CW","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Mid Year Intake","2020","Start Year Intake","GC","Y","$ACC","N"
"1343","835493|381885|594816","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","Y"
"1363","698274|381986|594961","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1373","1037818|382051|595063","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Bangladesh","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"1384","1034720|382304|595455","Australian","No","Online Application","","Qualified","Successful","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEF","Y"
"1397","1034538|382483|595723","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Pakistan","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1406","834013|382611|595916","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1418","1036375|383277|596932","Australian","No","Online Application","Grad Dip/Postgrad Dip","","","","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"1419","1036375|383277|596933","Australian","No","Online Application","","","","","2","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","",""
"1420","1038402|383567|597346","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","","","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"1428","1035185|383696|597570","Permanent Resident (excl Humanitarian)","No","Online Application","Masters CW","Qualified","Successful","United Kingdom","1","Engineering","STD","N","2020","Start Year Intake","2020","Start Year Intake","MCW","Y","","Y"
"1439","1039192|383793|597709","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEF","N"
"1455","1039537|384322|598550","Australian","No","Online Application","","No Decision","Not Successful","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1465","1039899|384683|599114","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","N"
"1477","1039899|384683|599115","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","",""
"1482","1040104|384944|599541","Permanent Humanitarian Visa","No","Online Application","Bachelor (equiv Aust 3yr deg)","","","Kenya","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","","N"
"1486","624900|384986|599607","Australian","No","Online Application","","","","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1494","1040150|384987|599608","Australian","Not Answered","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"1503","1040164|385001|599630","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","Y"
"1515","1040245|385097|599790","Australian","No","Online Application","","","","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"1522","262953|385117|599823","Australian","No","Online Application","Grad Dip/Postgrad Dip","Not Qualified","Not Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"1537","262953|385117|599824","Australian","No","Online Application","","Not Assessed","Not Successful","Australia","2","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","",""
"1547","1039638|385698|600699","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEC","N"
"1560","1040982|386008|601183","Australian","No","Online Application","","Not Qualified","Not Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"1567","1037562|386109|601336","Permanent Resident (excl Humanitarian)","No","Online Application","","No Decision","No Outcome Set","China (excludes SARs and Taiwan)","2","Engineering","GOM","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
